Date,Product,Units_Sold,Price_per_Unit,Sales
2025-01-07,Tablet,12,879,10548
2025-01-04,Phone,13,992,12896
2025-01-13,Headphones,8,2562,20496
2025-01-15,Headphones,3,4384,13152
2025-01-11,Headphones,14,564,7896
2025-01-08,Headphones,1,3068,3068
2025-01-13,Tablet,4,2527,10108
2025-01-05,Phone,2,3195,6390
2025-01-07,Phone,8,1995,15960
2025-01-10,Tablet,4,891,3564
2025-01-03,Phone,2,4974,9948
2025-01-07,Tablet,14,4061,56854
2025-01-11,Headphones,6,2778,16668
2025-01-11,Tablet,6,3599,21594
2025-01-08,Headphones,10,700,7000
2025-01-05,Headphones,4,3604,14416
2025-01-04,Laptop,6,2954,17724
2025-01-08,Tablet,13,4145,53885
2025-01-08,Laptop,2,1304,2608
2025-01-03,Tablet,10,3231,32310
2025-01-06,Tablet,12,3273,39276
2025-01-05,Laptop,2,2070,4140
2025-01-02,Laptop,10,3190,31900
2025-01-08,Tablet,14,4340,60760
2025-01-12,Phone,4,1528,6112
2025-01-14,Headphones,14,1002,14028
2025-01-06,Laptop,8,4993,39944
2025-01-02,Headphones,14,1370,19180
2025-01-12,Phone,7,4988,34916
2025-01-05,Phone,12,706,8472
2025-01-01,Phone,9,1984,17856
2025-01-12,Laptop,14,1363,19082
2025-01-10,Phone,8,3290,26320
2025-01-06,Laptop,5,1063,5315
2025-01-13,Phone,13,4691,60983
2025-01-12,Headphones,2,2257,4514
2025-01-09,Headphones,5,2178,10890
2025-01-01,Tablet,8,3742,29936
2025-01-11,Headphones,10,1559,15590
2025-01-11,Tablet,9,2222,19998
